3	37	1	1	1	1	1
0	74	2	1	1	1	1
2	258	3	1	1	1	1
25	139	1	2	1	1	1
0	88	2	2	1	1	1
3	242	3	2	1	1	1
0	5	1	1	2	1	1
1	93	2	1	2	1	1
3	180	3	1	2	1	1
2	22	1	2	2	1	1
2	145	2	2	2	1	1
3	260	3	2	2	1	1
0	16	1	1	1	2	1
0	35	2	1	1	2	1
0	134	3	1	1	2	1
6	75	1	2	1	2	1
1	47	2	2	1	2	1
1	122	3	2	1	2	1
0	4	1	1	2	2	1
1	54	2	1	2	2	1
2	169	3	1	2	2	1
1	24	1	2	2	2	1
3	142	2	2	2	2	1
4	301	3	2	2	2	1
8	21	1	1	1	1	2
1	50	2	1	1	1	2
1	187	3	1	1	1	2
8	30	1	2	1	1	2
0	5	2	2	1	1	2
0	33	3	2	1	1	2
0	0	1	1	2	1	2
1	33	2	1	2	1	2
2	94	3	1	2	1	2
0	0	1	2	2	1	2
0	4	2	2	2	1	2
0	3	3	2	2	1	2
2	8	1	1	1	2	2
1	16	2	1	1	2	2
0	58	3	1	1	2	2
1	9	1	2	1	2	2
0	0	2	2	1	2	2
0	7	3	2	1	2	2
0	0	1	1	2	2	2
0	30	2	1	2	2	2
1	90	3	1	2	2	2
0	0	1	2	2	2	2
0	4	2	2	2	2	2
0	4	3	2	2	2	2
31	77	1	1	1	1	3
1	141	2	1	1	1	3
12	495	3	1	1	1	3
10	31	1	2	1	1	3
0	1	2	2	1	1	3
0	45	3	2	1	1	3
0	1	1	1	2	1	3
3	91	2	1	2	1	3
3	176	3	1	2	1	3
0	1	1	2	2	1	3
0	0	2	2	2	1	3
0	2	3	2	2	1	3
5	47	1	1	1	2	3
0	39	2	1	1	2	3
3	182	3	1	1	2	3
3	15	1	2	1	2	3
0	1	2	2	1	2	3
0	23	3	2	1	2	3
0	2	1	1	2	2	3
3	187	2	1	2	2	3
2	340	3	1	2	2	3
0	0	1	2	2	2	3
0	2	2	2	2	2	3
0	3	3	2	2	2	3
